record_type,analysis,replicate,metric,estimate,ci95_low,ci95_high,units,n_physical_particles,seed,repetitions,notes
permutation_sample,random_target_derangement_distribution,91,mean_rmsd,6.894654209016245,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,92,mean_rmsd,6.87520307246341,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,93,mean_rmsd,6.9053122128716,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,94,mean_rmsd,6.882046031143092,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,95,mean_rmsd,6.922934686914275,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,96,mean_rmsd,6.939489037501661,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,97,mean_rmsd,6.9229710317804845,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,98,mean_rmsd,6.912727590524698,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,99,mean_rmsd,6.912420358525047,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,100,mean_rmsd,6.867813595445851,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,101,mean_rmsd,6.900628819851936,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,102,mean_rmsd,6.911607627446139,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,103,mean_rmsd,6.9392929101412815,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,104,mean_rmsd,6.945873697643039,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,105,mean_rmsd,6.9095856016255635,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,106,mean_rmsd,6.891458781858034,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,107,mean_rmsd,6.9191636902169344,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,108,mean_rmsd,6.928117279958122,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,109,mean_rmsd,6.903155322545691,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,110,mean_rmsd,6.9394077518680435,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,111,mean_rmsd,6.903457164341891,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,112,mean_rmsd,6.903857863510711,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,113,mean_rmsd,6.894650783575035,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,114,mean_rmsd,6.900973201993146,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,115,mean_rmsd,6.9341725584706175,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,116,mean_rmsd,6.90102046340025,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,117,mean_rmsd,6.933997040145005,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,118,mean_rmsd,6.928273047447205,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,119,mean_rmsd,6.908748422489891,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,120,mean_rmsd,6.910435350152511,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
